university,college,department,branch,min_grade
جامعة بغداد,كلية الطب,,علمي,101.41
جامعة بغداد,كلية طب الكندي,,علمي,100.77
جامعة النهرين,كلية الطب,,علمي,100.71
جامعة كربالء,كلية الطب,,علمي,100.66
جامعة بابل,كلية الطب,,علمي,100.57
جامعة الكوفة,كلية الطب,,علمي,100.57
جامعة الموصل,كلية طب الموصل,,علمي,100.57
جامعة كركوك,كلية الطب,,علمي,100.43
الجامعة المستنصرية,كلية الطب,,علمي,100.29
الجامعة العراقية,كلية الطب,,علمي,100.13
جامعة ابن سينا للعلوم الطبية والصيدالنية,كلية الطب,,علمي,100.1
جامعة ذي قار,كلية الطب,,علمي,100.04
جامعة جابر بن حيان للعلوم الطبية والصيدالنية,كلية الطب,,علمي,100.0
جامعة بابل,كلية طب حمورابي,,علمي,100.0
جامعة البصرة,كلية الطب,,علمي,99.86
جامعة المثنى,كلية الطب,ابناء المحافظة,علمي,99.86
جامعة الفلوجة,كلية الطب,,علمي,99.86
جامعة ديالى,كلية الطب,,علمي,99.86
جامعة واسط,كلية الطب,,علمي,99.86
جامعة القادسية,كلية الطب,,علمي,99.86
جامعة المثنى,كلية الطب,,علمي,99.83
جامعة النبار,كلية الطب,,علمي,99.71
جامعة نينوى,كلية الطب,,علمي,99.71
جامعة البصرة,كلية طب الزهراء,,علمي,99.71
جامعة ميسان,كلية الطب,,علمي,99.71
جامعة سومر,كلية الطب,,علمي,99.69
جامعة الموصل,كلية طب البتول,,علمي,99.57
جامعة تكريت,كلية الطب,,علمي,99.57
جامعة تكريت,كلية الطب,ابناء المحافظة,علمي,99.29
جامعة ميسان,كلية الطب,ابناء المحافظة,علمي,98.43
جامعة بغداد,كلية طب السنان,,علمي,99.43
جامعة ذي قار,كلية طب السنان,,علمي,99.29
جامعة الكوفة,كلية طب السنان,,علمي,99.29
الجامعة المستنصرية,كلية طب السنان,,علمي,99.28
جامعة البصرة,كلية طب السنان,,علمي,99.14
جامعة القادسية,كلية طب السنان,,علمي,99.0
جامعة ميسان,كلية طب السنان,,علمي,99.0
جامعة بابل,كلية طب السنان,,علمي,99.0
جامعة كربالء,كلية طب السنان,,علمي,99.0
الجامعة العراقية,كلية طب السنان,,علمي,99.0
جامعة كركوك,كلية طب السنان,,علمي,98.98
جامعة واسط,كلية طب السنان,,علمي,98.96
جامعة ابن سينا للعلوم الطبية والصيدالنية,كلية طب السنان,,علمي,98.86
جامعة المثنى,كلية طب السنان,,علمي,98.86
جامعة النبار,كلية طب السنان,,علمي,98.71
جامعة ديالى,كلية طب السنان,,علمي,98.71
جامعة الموصل,كلية طب السنان,,علمي,98.71
جامعة تكريت,كلية طب السنان,,علمي,98.67
جامعة ميسان,كلية طب السنان,ابناء المحافظة,علمي,97.86
جامعة بغداد,كلية الصيدلة,,علمي,99.14
جامعة الكوفة,كلية الصيدلة,,علمي,98.72
جامعة النهرين,كلية الصيدلة,,علمي,98.71
الجامعة المستنصرية,كلية الصيدلة,,علمي,98.63
جامعة البصرة,كلية الصيدلة,,علمي,98.57
جامعة جابر بن حيان للعلوم الطبية والصيدالنية,كلية الصيدلة,,علمي,98.57
جامعة ذي قار,كلية الصيدلة,,علمي,98.53
جامعة بابل,كلية الصيدلة,,علمي,98.51
جامعة كربالء,كلية الصيدلة,,علمي,98.51
جامعة القادسية,كلية الصيدلة,,علمي,98.48
جامعة المثنى,كلية الصيدلة,,علمي,98.43
جامعة النبار,كلية الصيدلة,,علمي,98.43
جامعة كركوك,كلية الصيدلة,,علمي,98.43
جامعة ميسان,كلية الصيدلة,,علمي,98.43
جامعة نينوى,كلية الصيدلة,,علمي,98.29
جامعة الموصل,كلية الصيدلة,,علمي,98.29
جامعة تكريت,كلية الصيدلة,,علمي,98.29
جامعة ميسان,كلية الصيدلة,ابناء المحافظة,علمي,97.14
جامعة بغداد,كلية الهندسة-قسم العمارة,,علمي,98.43
جامعة البصرة للنفط والغاز,كلية هندسة النفط والغاز-قسم هندسة النفط والغاز,,علمي,98.14
جامعة النهرين,كلية الهندسة-قسم العمارة,,علمي,98.03
جامعة البصرة,كلية الهندسة-قسم النفط والغاز,,علمي,97.91
الجامعة المستنصرية,كلية الهندسة-قسم العمارة,,علمي,97.9
جامعة كربالء,كلية الهندسة-قسم النفط,,علمي,97.71
الجامعة التكنولوجية,كلية هندسة العمارة-قسم التصميم المعماري,,علمي,97.71
جامعة كربالء,كلية الهندسة-قسم العمارة,,علمي,97.61
جامعة بغداد,كلية الهندسة-الخوارزمي-قسم الطب الحياتي,,علمي,97.57
جامعة بغداد,كلية الهندسة-قسم النفط,,علمي,97.57
جامعة الكوفة,كلية الهندسة-قسم العمارة,,علمي,97.47
جامعة بابل,كلية الهندسة-قسم العمارة,,علمي,97.47
جامعة البصرة,كلية الهندسة-قسم العمارة,,علمي,97.43
جامعة النهرين,كلية الهندسة-قسم الطب الحياتي,,علمي,97.43
جامعة كربالء,كلية الهندسة-قسم الطب الحياتي,,علمي,97.42
الجامعة التكنولوجية,كلية هندسة العمارة-قسم التصميم الحضري,,علمي,97.29
جامعة الموصل,كلية الهندسة-قسم العمارة,,علمي,97.29
جامعة البصرة للنفط والغاز,كلية هندسة النفط والغاز-قسم الهندسة الكيميائية وتكرير النفط,,علمي,97.14
جامعة ميسان,كلية الهندسة-قسم النفط,,علمي,96.86
جامعة بغداد,كلية الهندسة-قسم المدني,,علمي,96.71
جامعة بغداد,كلية الهندسة-قسم الطيران,,علمي,96.71
الجامعة التكنولوجية,كلية هندسة الطب الحياتي-قسم الجهزة الطبية الحيوية,,علمي,96.57
الجامعة التكنولوجية,كلية هندسة النفط والغاز-قسم النفط,,علمي,96.57
جامعة النهرين,كلية هندسة المعلومات-قسم المن السيبراني,,علمي,96.46
جامعة المثنى,كلية الهندسة-قسم العمارة,,علمي,96.43
جامعة ذي قار,كلية الهندسة-قسم النفط والغاز,,علمي,96.43
جامعة البصرة للنفط والغاز,كلية هندسة النفط والغاز-قسم هندسة عمليات الغاز والبتروكيمياويات,,علمي,96.29
جامعة واسط,كلية الهندسة-قسم العمارة,,علمي,96.29
جامعة ديالى,كلية الهندسة-قسم العمارة,,علمي,96.14
جامعة سامراء,كلية الهندسة-قسم العمارة,,علمي,96.11
جامعة النهرين,كلية الهندسة-قسم الذكاء الصطناعي والنسان اآللي,,علمي,96.0
جامعة بابل,كلية الهندسة-قسم الطب الحياتي,,علمي,95.86
جامعة النهرين,كلية الهندسة-قسم المدني,,علمي,95.86
جامعة كركوك,كلية الهندسة-قسم النفط,,علمي,95.71
جامعة النهرين,كلية الهندسة-قسم الليزر,,علمي,95.71
جامعة بغداد,كلية الهندسة-قسم الحاسوب,,علمي,95.43
جامعة ذي قار,كلية الهندسة-قسم الطب الحياتي,,علمي,95.43
جامعة النهرين,كلية الهندسة-قسم الطراف والمساند الصناعية,,علمي,95.29
جامعة البصرة,كلية الهندسة-قسم الكيمياوية,,علمي,95.29
الجامعة المستنصرية,كلية الهندسة-قسم المدني,,علمي,95.29
جامعة النهرين,كلية هندسة المعلومات-قسم التمتة والذكاء الصطناعي,,علمي,95.0
جامعة كربالء,كلية الهندسة-قسم الطراف والمساند الصناعية,,علمي,94.95
جامعة البصرة,كلية الهندسة-قسم المدني,,علمي,94.86
الجامعة التكنولوجية,كلية الهندسة الكيميائية-قسم هندسة تكرير النفط وتكنولوجيا الغاز,,علمي,94.71
جامعة النبار,كلية الهندسة-قسم المدني,,علمي,94.57
الجامعة التكنولوجية,كلية هندسة النفط والغاز-قسم الغاز الطبيعي,,علمي,94.57
الجامعة التكنولوجية,كلية هندسة الطب الحياتي-قسم الميكانيك الحيوي,,علمي,94.47
جامعة نينوى,كلية هندسة اللكترونيات-قسم الطب الحياتي,,علمي,94.43
الجامعة العراقية,كلية الهندسة-قسم الشبكات والمن السيبراني,,علمي,94.43
جامعة ميسان,كلية الهندسة-قسم الكيمياوية,,علمي,94.43
جامعة النهرين,كلية الهندسة-قسم الحاسوب,,علمي,94.43
الجامعة العراقية,كلية الهندسة-قسم المدني,,علمي,94.43
الجامعة التكنولوجية,كلية هندسة الحاسوب-قسم الشبكات والمن السيبراني,,علمي,94.29
جامعة القادسية,كلية الهندسة-قسم المدني,,علمي,94.29
الجامعة التكنولوجية,كلية الهندسة المدنية-قسم النشائية,,علمي,94.14
الجامعة التكنولوجية,كلية هندسة الليزر واللكترونيات البصرية-قسم الليزر,,علمي,94.14
الجامعة التكنولوجية,كلية الهندسة المدنية-قسم البناء وادارة المشاريع النشائية,,علمي,94.14
جامعة البصرة,كلية الهندسة-قسم الحاسوب,,علمي,94.0
الجامعة التكنولوجية,كلية هندسة الذكاء الصطناعي-قسم انظمة الحوسبة الذكية والمن السيبراني,,علمي,94.0
جامعة كربالء,كلية الهندسة-قسم المدني,,علمي,93.86
جامعة الكوفة,كلية الهندسة-قسم المدني,,علمي,93.71
جامعة واسط,كلية الهندسة-قسم المدني,,علمي,93.71
جامعة البصرة,كلية الهندسة-قسم الميكاترونكس,,علمي,93.71
جامعة تكريت,كلية هندسة العمليات النفطية-قسم هندسة تكرير النفط والغاز,,علمي,93.71
جامعة بابل,كلية الهندسة-قسم المدني,,علمي,93.68
جامعة بغداد,كلية الهندسة-قسم الكهرباء,,علمي,93.57
جامعة ذي قار,كلية الهندسة-قسم المدني,,علمي,93.57
جامعة ميسان,كلية الهندسة-قسم المدني,,علمي,93.43
جامعة البصرة,كلية الهندسة-قسم الكهرباء,,علمي,93.43
جامعة بغداد,كلية الهندسة-قسم اللكترونيك والتصالت,,علمي,93.29
جامعة البصرة,كلية الهندسة-قسم الميكانيك,,علمي,93.29
جامعة الموصل,كلية الهندسة-قسم المدني,,علمي,93.25
جامعة الموصل,كلية هندسة النفط والتعدين-قسم النفط والتكرير,,علمي,93.14
جامعة كربالء,كلية الهندسة-قسم الكهرباء واللكترونيك,,علمي,93.0
الجامعة المستنصرية,كلية الهندسة-قسم الحاسوب,,علمي,92.9
جامعة ميسان,كلية الهندسة-قسم الطب الحياتي,,علمي,92.86
الجامعة العراقية,كلية الهندسة-قسم الذكاء الصطناعي والنسان اللي,,علمي,92.86
الجامعة التكنولوجية,كلية هندسة الليزر واللكترونيات البصرية-قسم اللكترونيات البصرية,,علمي,92.71
جامعة بغداد,كلية الهندسة-الخوارزمي-قسم الكيميائية الحيائية,,علمي,92.57
جامعة بغداد,كلية الهندسة-قسم الكيمياوية,,علمي,92.43
الجامعة التكنولوجية,كلية هندسة الحاسوب-قسم الحاسوب,,علمي,92.36
جامعة ميسان,كلية الهندسة-قسم الكهرباء,,علمي,92.29
الجامعة التكنولوجية,كلية الهندسة المدنية-قسم الطرق والجيوتكنك,,علمي,92.29
الجامعة التكنولوجية,كلية هندسة الذكاء الصطناعي-قسم النسان اللي الذكي,,علمي,92.19
جامعة البصرة,كلية الهندسة-قسم المواد,,علمي,92.14
جامعة بغداد,كلية الهندسة-الخوارزمي-قسم المعلومات والتصالت,,علمي,92.03
الجامعة التكنولوجية,كلية هندسة الذكاء الصطناعي-قسم السيطرة الذكية,,علمي,92.02
جامعة النهرين,كلية هندسة المعلومات-قسم المعلومات والتصالت,,علمي,92.0
جامعة كركوك,كلية الهندسة-قسم المدني,,علمي,92.0
جامعة بغداد,كلية الهندسة-الخوارزمي-قسم الميكاترونكس,,علمي,91.71
جامعة النهرين,كلية هندسة المعلومات-قسم شبكات الحاسوب,,علمي,91.71
الجامعة العراقية,كلية الهندسة-قسم الحاسوب,,علمي,91.43
جامعة النهرين,كلية الهندسة-قسم الكيمياوي,,علمي,91.43
جامعة المثنى,كلية الهندسة-قسم المدني,,علمي,91.29
جامعة الموصل,كلية الهندسة-قسم الحاسوب,,علمي,91.29
جامعة بغداد,كلية الهندسة-قسم الطاقة,,علمي,91.14
جامعة ميسان,كلية الهندسة-قسم الميكانيكية,,علمي,91.0
جامعة تكريت,كلية الهندسة-قسم المدني,,علمي,91.0
جامعة النهرين,كلية الهندسة-قسم اللكترونية والتصالت,,علمي,90.86
جامعة سامراء,كلية الهندسة-قسم المدنية,,علمي,90.86
جامعة ديالى,كلية الهندسة-قسم المدني,,علمي,90.86
جامعة المثنى,كلية هندسة الذكاء الصطناعي والمن السيبراني-قسم المن السيبراني,,علمي,90.71
جامعة الكرخ للعلوم,كلية الهندسة-قسم المدني,,علمي,90.69
جامعة القاسم الخضراء,كلية الهندسة-قسم المدنية,,علمي,90.57
الجامعة التكنولوجية,كلية هندسة الذكاء الصطناعي-قسم النظمة الدراكية,,علمي,90.57
الجامعة التكنولوجية,كلية الهندسة الكهربائية-قسم الكهرباء,,علمي,90.57
الجامعة المستنصرية,كلية الهندسة-قسم الكهرباء,,علمي,90.43
جامعة المثنى,كلية هندسة الذكاء الصطناعي والمن السيبراني-قسم الذكاء الصطناعي,,علمي,90.43
الجامعة التكنولوجية,كلية الهندسة الكيميائية-قسم الهندسة الكيمياوية والتلوث النفطي,,علمي,90.43
جامعة ديالى,كلية هندسة تكنولوجيا الذكاء الصطناعي-قسم هندسة الذكاء الصطناعي,,علمي,90.29
الجامعة التكنولوجية,كلية الهندسة الميكانيكية-قسم الطائرات,,علمي,90.29
جامعة تكريت,كلية هندسة العمليات النفطية-قسم سيطرة المنظومات النفطية,,علمي,90.29
جامعة الموصل,كلية هندسة النفط والتعدين-قسم المكامن النفطية,,علمي,90.0
جامعة بغداد,كلية الهندسة-قسم المساحة,,علمي,90.0
جامعة بغداد,كلية الهندسة-قسم الميكانيك,,علمي,89.86
جامعة الكرخ للعلوم,كلية الهندسة-قسم المن السيبراني,,علمي,89.86
جامعة النهرين,كلية الهندسة-قسم الطائرات المسيرة,,علمي,89.81
جامعة الكوفة,كلية الهندسة-قسم اللكترون والتصالت,,علمي,89.76
جامعة الشطرة,كلية الهندسة-قسم المدنية,,علمي,89.71
جامعة الكوفة,كلية الهندسة-قسم الكهرباء,,علمي,89.71
جامعة واسط,كلية الهندسة-قسم الكهرباء,,علمي,89.57
جامعة ديالى,كلية هندسة تكنولوجيا الذكاء الصطناعي-قسم هندسة المن السيبراني,,علمي,89.57
الجامعة التكنولوجية,كلية الهندسة الكيميائية-قسم هندسة العمليات الكيمياوية,,علمي,89.55
جامعة النبار,كلية الهندسة-قسم الكيميائية والبتروكيميائية,,علمي,89.43
جامعة بابل,كلية الهندسة-قسم الكهرباء,,علمي,89.33
جامعة الموصل,كلية هندسة النفط والتعدين-قسم التعدين,,علمي,89.14
جامعة الكرخ للعلوم,كلية الهندسة-قسم الذكاء الصطناعي والنسان اللي,,علمي,89.0
جامعة الكوفة,كلية الهندسة-قسم الكيمياوية,,علمي,89.0
الجامعة التكنولوجية,كلية الهندسة المدنية-قسم المنشآت الهيدروليكية والموارد المائية,,علمي,88.86
الجامعة العراقية,كلية الهندسة-قسم الكهربائية,,علمي,88.86
الجامعة التكنولوجية,كلية الهندسة المدنية-قسم الجيوماتيك,,علمي,88.86
جامعة ذي قار,كلية الهندسة-قسم الكهربائية واللكترونية,,علمي,88.57
جامعة كربالء,كلية الهندسة-قسم الميكانيك,,علمي,88.57
الجامعة التكنولوجية,كلية هندسة التصالت-قسم نظم التصالت الالسلكية,,علمي,88.29
الجامعة التكنولوجية,كلية هندسة الكهروميكانيك-قسم هندسة نظم الطائرات بدون طيار,,علمي,88.29
الجامعة التكنولوجية,كلية هندسة الكهروميكانيك-قسم معدات النفط والغاز,,علمي,88.14
الجامعة التكنولوجية,كلية الهندسة الكهربائية-قسم اللكترونيك,,علمي,88.14
جامعة النبار,كلية الهندسة-قسم الكهربائية,,علمي,88.14
جامعة بابل,كلية الهندسة-قسم الكيمياوية,,علمي,88.0
جامعة النهرين,كلية الهندسة-قسم الميكانيك,,علمي,87.72
جامعة تكنولوجيا المعلومات والتصالت,كلية الهندسة-قسم هندسة التصالت والحوسبة المتنقلة,,علمي,87.71
الجامعة التكنولوجية,كلية هندسة التصالت-قسم نظم التصالت الضوئية,,علمي,87.51
جامعة الشطرة,كلية الهندسة-قسم الطب الحياتي,,علمي,87.43
جامعة الموصل,كلية الهندسة-قسم الميكاترونكس,,علمي,87.29
جامعة بغداد,كلية الهندسة-الخوارزمي-قسم التصنيع المؤتمت,,علمي,87.29
الجامعة التكنولوجية,كلية الهندسة الميكانيكية-قسم الميكانيك العام,,علمي,86.71
الجامعة التكنولوجية,كلية الهندسة المدنية-قسم الهندسة البيئية,,علمي,86.71
جامعة تكنولوجيا المعلومات والتصالت,كلية الهندسة-قسم هندسة تكنولوجيا العالم والتصالت,,علمي,86.29
جامعة ذي قار,كلية الهندسة-قسم الميكانيك,,علمي,86.29
الجامعة المستنصرية,كلية الهندسة-قسم الطرق,,علمي,86.0
جامعة ديالى,كلية الهندسة-قسم الحاسوب,,علمي,86.0
جامعة الموصل,كلية الهندسة-قسم الكهرباء,,علمي,85.86
الجامعة العراقية,كلية الهندسة-قسم الطاقة والطاقات المتجددة,,علمي,85.86
جامعة بابل,كلية الهندسة-قسم الميكانيك,,علمي,85.71
جامعة القادسية,كلية الهندسة-قسم اللكترونيك والتصالت,,علمي,85.71
الجامعة المستنصرية,كلية الهندسة-قسم الميكانيك,,علمي,85.71
الجامعة التكنولوجية,كلية هندسة التصالت-قسم الرادار والقمار الصناعية,,علمي,85.6
جامعة القادسية,كلية الهندسة-قسم الكيمياوي,,علمي,85.57
جامعة كركوك,كلية الهندسة-قسم الكهرباء,,علمي,85.57
جامعة بغداد,كلية الهندسة-قسم الموارد المائية,,علمي,85.43
جامعة بغداد,كلية الهندسة-قسم البيئة,,علمي,85.29
جامعة كركوك,كلية الهندسة-قسم الكيمياوية,,علمي,85.14
جامعة المثنى,كلية الهندسة-قسم الكيمياوي,,علمي,85.14
جامعة ديالى,كلية الهندسة-قسم الكيمياوي,,علمي,85.0
الجامعة التكنولوجية,كلية هندسة الكهروميكانيك-قسم الطاقة والطاقات المتجددة,,علمي,84.86
جامعة ذي قار,كلية الهندسة-قسم المساحة والجيوماتيك,,علمي,84.86
جامعة تكريت,كلية الهندسة-قسم الكيمياوي,,علمي,84.71
جامعة الموصل,كلية الهندسة-قسم هندسة التصالت والنظمة الرقمية الذكية,,علمي,84.71
جامعة الكوفة,كلية الهندسة-قسم الميكانيك,,علمي,84.14
جامعة المثنى,كلية الهندسة-قسم التصالت واللكترونيك,,علمي,84.0
جامعة واسط,كلية الهندسة-قسم الميكانيك,,علمي,83.86
الجامعة التكنولوجية,كلية هندسة الكهروميكانيك-قسم الهندسة الكهروميكانيكية,,علمي,83.71
جامعة القادسية,كلية الهندسة-قسم الميكانيك,,علمي,83.57
الجامعة التكنولوجية,كلية الهندسة الميكانيكية-قسم محطات القدرة,,علمي,83.14
الجامعة المستنصرية,كلية الهندسة-قسم المواد,,علمي,83.14
الجامعة التكنولوجية,كلية هندسة المواد-قسم المواد,,علمي,82.71
جامعة سومر,كلية الهندسة-قسم الميكانيك,,علمي,82.71
جامعة النبار,كلية الهندسة-قسم الميكانيك,,علمي,82.43
الجامعة التكنولوجية,كلية الهندسة الميكانيكية-قسم التكييف والتجميد,,علمي,82.43
الجامعة التكنولوجية,كلية الهندسة الميكانيكية-قسم السيارات والتنقل المستدام,,علمي,82.0
جامعة القادسية,كلية الهندسة-قسم الطرق والنقل,,علمي,81.71
جامعة ديالى,كلية الهندسة-قسم التصالت,,علمي,81.71
جامعة سومر,كلية الهندسة-قسم التصالت,,علمي,81.29
جامعة نينوى,كلية هندسة اللكترونيات-قسم التصالت,,علمي,81.15
الجامعة التكنولوجية,كلية هندسة النتاج والمعادن-قسم المعادن,,علمي,81.0
جامعة ديالى,كلية الهندسة-قسم الطرق والمطارات,,علمي,80.86
جامعة الموصل,كلية الهندسة-قسم الميكانيك,,علمي,80.86
جامعة ديالى,كلية الهندسة-قسم الميكانيك,,علمي,80.71
جامعة الشطرة,كلية الهندسة-قسم الحاسوب والذكاء الصطناعي,,علمي,80.71
الجامعة المستنصرية,كلية الهندسة-قسم البيئة,,علمي,80.57
جامعة ديالى,كلية الهندسة-قسم القدرة والمكائن الكهربائية,,علمي,80.43
جامعة الكوفة,كلية الهندسة-قسم المواد,,علمي,80.16
الجامعة التكنولوجية,كلية هندسة المواد-قسم المواد الحيائية والتعويضات الصطناعية,,علمي,80.0
الجامعة التكنولوجية,كلية هندسة الكهروميكانيك-قسم المالحة والتوجيه,,علمي,80.0
جامعة بابل,كلية الهندسة-قسم البيئة,,علمي,79.86
جامعة كركوك,كلية الهندسة-قسم الميكانيك,,علمي,79.86
الجامعة المستنصرية,كلية الهندسة-قسم الموارد المائية,,علمي,79.57
جامعة تكريت,كلية الهندسة-قسم الكهرباء,,علمي,79.57
جامعة سامراء,كلية الهندسة-قسم الكهروميكانيكية,,علمي,79.43
جامعة ديالى,كلية الهندسة-قسم اللكترونيك,,علمي,79.29
الجامعة التكنولوجية,كلية هندسة النتاج والمعادن-قسم التصميم والتصنيع المعان بالحاسوب,,علمي,79.14
جامعة بابل,هندسة المواد-قسم المعادن,,علمي,79.0
جامعة القادسية,كلية الهندسة-قسم المواد,,علمي,78.86
الجامعة التكنولوجية,كلية هندسة النتاج والمعادن-قسم التصنيع الذكي,,علمي,78.71
الجامعة التكنولوجية,كلية هندسة المواد-قسم المواد البوليمرية والبتروكيمياوية,,علمي,78.57
جامعة نينوى,كلية هندسة اللكترونيات-قسم الحاسوب والمعلوماتية,,علمي,78.57
جامعة الموصل,كلية الهندسة-قسم الطاقة المستدامة,,علمي,78.43
الجامعة التكنولوجية,كلية هندسة النتاج والمعادن-قسم التعدين واستخالص المعادن,,علمي,78.29
الجامعة التكنولوجية,كلية هندسة النتاج والمعادن-قسم الصناعية والنظم,,علمي,77.29
جامعة الكوفة,كلية الهندسة-قسم المنشأت والموارد المائية,,علمي,77.29
جامعة بابل,هندسة المواد-قسم البوليمرات والصناعات البتروكيمياوية,,علمي,77.29
جامعة ديالى,كلية الهندسة-قسم المواد,,علمي,77.14
الجامعة التكنولوجية,كلية هندسة المواد-قسم السيراميك ومواد البناء,,علمي,77.0
جامعة النبار,كلية الهندسة-قسم السدود وموارد المياه,,علمي,76.86
جامعة بابل,كلية الهندسة,المسيب-قسم الطاقة والطاقات المتجددة,علمي,76.29
جامعة الموصل,كلية الهندسة-قسم البيئة,,علمي,75.71
جامعة تكريت,كلية الهندسة-قسم الميكانيك,,علمي,75.71
جامعة تكريت,كلية الهندسة-قسم الطاقة المستدامة,,علمي,75.57
جامعة بابل,هندسة المواد-قسم السيراميك ومواد البناء,,علمي,75.29
جامعة الموصل,كلية الهندسة-قسم السدود والموارد المائية,,علمي,73.71
جامعة نينوى,كلية هندسة اللكترونيات-قسم اللكترونيك,,علمي,73.71
جامعة بابل,هندسة المواد-قسم السالمة المهنية والحرائق,,علمي,73.29
جامعة تكريت,كلية الهندسة-قسم البيئة,,علمي,73.29
جامعة القاسم الخضراء,كلية الهندسة-قسم ادارة الموارد المائية,,علمي,72.57
جامعة نينوى,كلية هندسة اللكترونيات-قسم النظم والسيطرة,,علمي,72.0
جامعة تكريت,كلية الهندسة,الشرقاط-قسم الكهربائية,علمي,71.71
جامعة الشطرة,كلية الهندسة-قسم المواد,,علمي,71.43
جامعة تكريت,كلية الهندسة-قسم السدود والموارد المائية,,علمي,71.0
