university,college,department,branch,min_grade
الجامعة التقنية الوسطى,كلية البوليتكنك بغداد,التخصصات الهندسية-قسم تقنيات هندسة اللكترونيك والذكاء الصطناعي,علمي,72.29
الجامعة التقنية الوسطى,الكلية التقنية الهندسية,بغداد-قسم هندسة تقنيات الميكانيك التطبيقي,علمي,72.29
جامعة الفرات الوسط التقنية,الكلية التقنية الهندسية,النجف-قسم هندسة تقنيات ميكانيك القوى,علمي,72.29
جامعة الفرات الوسط التقنية,كلية البوليتكنك كربالء,التخصصات الهندسية-قسم تقنيات هندسة تكنولوجيا المعلومات,علمي,71.43
كلية هندسة تقنيات النفط والغاز,كركوك-قسم هندسة تقنيات الوقود والطاقة,,علمي,70.86
جامعة الفرات الوسط التقنية,الكلية التقنية القسام الهندسية,المسيب-قسم هندسة تقنيات ميكانيك الطائرات والطائرات المسيرة,علمي,70.86
الجامعة التقنية الشمالية,الكلية التقنية الهندسية,الموصل-قسم تقنيات الهندسة الكهربائية,علمي,70.71
الجامعة التقنية الشمالية,الكلية التقنية الهندسية,الموصل-قسم هندسة تقنيات الصناعات الكيمياوية والنفطية,علمي,70.43
جامعة الفرات الوسط التقنية,كلية البوليتكنك كربالء,التخصصات الهندسية-قسم تقنيات هندسة البناء والنشاءات,علمي,67.86
الجامعة التقنية الجنوبية,الكلية التقنية القسام الهندسية,ذي قار-قسم هندسة تقنيات النظم الكهروميكانيكية,علمي,67.86
جامعة الفرات الوسط التقنية,كلية البوليتكنك كربالء,التخصصات الهندسية-قسم تقنيات الهندسة الكهربائية,علمي,66.57
كلية هندسة تقنيات النفط والغاز,كركوك-قسم هندسة تقنيات الطاقة المتجددة,,علمي,66.0
جامعة الفرات الوسط التقنية,الكلية التقنية القسام الهندسية,المسيب-قسم تقنيات الهندسة الكهربائية,علمي,65.29
الجامعة التقنية الوسطى,كلية البوليتكنك بغداد,التخصصات الهندسية-قسم تقنيات هندسة الصناعات الكيمياوية والنفطية,علمي,65.14
الجامعة التقنية الوسطى,الكلية التقنية الكوت,التخصصات الهندسية-قسم التقنيات الكهروميكانيكية,علمي,64.71
جامعة الفرات الوسط التقنية,الكلية التقنية القسام الهندسية,المسيب-قسم هندسة تقنيات البناء والنشاءات,علمي,64.71
الجامعة التقنية الشمالية,الكلية التقنية الحويجة,التخصصات الهندسية-قسم هندسة تقنيات البناء والنشاءات,علمي,64.57
الجامعة التقنية الشمالية,الكلية التقنية الهندسية,كركوك-قسم هندسة تقنيات المساحة,علمي,64.57
الجامعة التقنية الشمالية,الكلية التقنية الهندسية,الموصل-قسم هندسة تقنيات ميكانيك القوى,علمي,64.29
جامعة الفرات الوسط التقنية,كلية البوليتكنك كربالء,التخصصات الهندسية-قسم تقنيات هندسة الطاقة المتجددة,علمي,64.29
الجامعة التقنية الشمالية,الكلية التقنية الهندسية,كركوك-قسم هندسة تقنيات ميكانيك القوى,علمي,64.14
الجامعة التقنية الشمالية,الكلية التقنية الحويجة,التخصصات الهندسية-قسم هندسة تقنيات الميكاترونكس,علمي,64.0
جامعة الفرات الوسط التقنية,الكلية التقنية القسام الهندسية,المسيب-قسم هندسة تقنيات ميكانيك القدرة,علمي,64.0
الجامعة التقنية الشمالية,الكلية التقنية الهندسية,الموصل-قسم هندسة تقنيات الميكانيك التطبيقي,علمي,64.0
الجامعة التقنية الشمالية,الكلية التقنية الهندسية,الموصل-قسم هندسة تقنيات الجيوماتكس,علمي,64.0
الجامعة التقنية الجنوبية,الكلية التقنية الشطرة,القسام الهندسية-قسم هندسة تقنيات البيئة والتلوث,علمي,64.0
جامعة الفرات الوسط التقنية,الكلية التقنية القسام الهندسية,المسيب-قسم هندسة تقنيات المكائن والمعدات,علمي,64.0
الجامعة التقنية الشمالية,الكلية التقنية الهندسية,كركوك-قسم هندسة تقنيات اللكترونيك والسيطرة,علمي,64.0
الجامعة التقنية الشمالية,الكلية التقنية الهندسية,كركوك-قسم هندسة تقنيات البيئة والتلوث,علمي,64.0
الجامعة التقنية الوسطى,الكلية التقنية بعقوبة,التخصصات الهندسية-قسم التقنيات الكهروميكانيكية,علمي,64.0
جامعة الفرات الوسط التقنية,كلية البوليتكنك كربالء,التخصصات الهندسية-قسم تقنيات الهندسة الميكانيكية,علمي,63.57
الجامعة التقنية الشمالية,كلية البوليتكنك الموصل,التخصصات الهندسية-قسم تقنيات هندسة المساحة,علمي,61.86
كلية البوليتكنك الحويجة,التخصصات الهندسية-قسم تقنيات هندسة الشبكات وبرمجيات الحاسوب,,علمي,59.71
الجامعة التقنية الشمالية,كلية البوليتكنك الموصل,التخصصات الهندسية-قسم تقنيات الهندسة اللكترونية والتصالت,علمي,59.29
الجامعة التقنية الشمالية,كلية البوليتكنك الموصل,التخصصات الهندسية-قسم تقنيات الهندسة الميكانيكية,علمي,59.14
الجامعة التقنية الوسطى,كلية البوليتكنك بغداد,التخصصات الهندسية-قسم هندسة التصنيع المبرمج,علمي,59.0
جامعة الفرات الوسط التقنية,كلية البوليتكنك القادسية,التخصصات الهندسية-قسم تقنيات الهندسة الميكانيكية,علمي,59.0
الجامعة التقنية الشمالية,كلية البوليتكنك كركوك,التخصصات الهندسية-قسم تقنيات هندسة البناء والنشاءات,علمي,58.0
كلية البوليتكنك الحويجة,التخصصات الهندسية-قسم تقنيات هندسة الجهزة الطبية,,علمي,55.71
كلية البوليتكنك الحويجة,التخصصات الهندسية-قسم تقنيات الهندسة الكهربائية,,علمي,52.71
الجامعة التقنية الشمالية,كلية البوليتكنك الموصل,التخصصات الهندسية-قسم تقنيات هندسة الوتوترونكس,علمي,52.0
الجامعة التقنية الشمالية,كلية البوليتكنك الموصل,التخصصات الهندسية-قسم تقنيات هندسة البيئة والموارد المائية,علمي,51.29
الجامعة التقنية الجنوبية,الكلية التقنية الشطرة,القسام الزراعية-قسم تقنيات استصالح الراضي والري الحديث,علمي,59.71
جامعة الفرات الوسط التقنية,الكلية التقنية القسام الزراعية,المسيب,علمي,55.14
الكلية التقنية الزراعية,الموصل,,علمي,55.0
الجامعة التقنية الجنوبية,الكلية التقنية الدارية,البصرة,علمي,69.86
الجامعة التقنية الجنوبية,الكلية التقنية القسام الدارية,ذي قار-قسم تقنيات المحاسبة,علمي,63.71
الجامعة التقنية الوسطى,الكلية التقنية الدارية,بغداد-الرصافة,علمي,62.0
الجامعة التقنية الوسطى,الكلية التقنية الكوت,التخصصات الدارية-قسم تقنيات المحاسبة,علمي,61.86
جامعة الفرات الوسط التقنية,الكلية التقنية الدارية,الكوفة,أدبي,61.57
الجامعة التقنية الوسطى,الكلية التقنية بعقوبة,التخصصات الدارية-قسم تقنيات المحاسبة,أدبي,60.71
الجامعة التقنية الجنوبية,الكلية التقنية القسام الدارية,ذي قار-قسم تقنيات المحاسبة,أدبي,60.57
الجامعة التقنية الشمالية,الكلية التقنية الدارية,الموصل,أدبي,60.29
الجامعة التقنية الشمالية,الكلية التقنية الحويجة,التخصصات الدارية,علمي,60.29
الجامعة التقنية الوسطى,الكلية التقنية الدارية,بغداد-الرصافة,أدبي,60.14
الجامعة التقنية الوسطى,الكلية التقنية بعقوبة,التخصصات الدارية-قسم تقنيات المحاسبة,علمي,60.0
الجامعة التقنية الشمالية,الكلية التقنية الدارية,الموصل,علمي,60.0
جامعة الفرات الوسط التقنية,الكلية التقنية الدارية,الكوفة,علمي,60.0
الجامعة التقنية الجنوبية,الكلية التقنية الدارية,البصرة,أدبي,60.0
الجامعة التقنية الشمالية,الكلية التقنية الحويجة,التخصصات الدارية,أدبي,60.0
الجامعة التقنية الشمالية,كلية البوليتكنك كركوك,التخصصات الدارية-قسم تقنيات المحاسبة,علمي,59.71
جامعة الفرات الوسط التقنية,كلية البوليتكنك كربالء,التخصصات الدارية,علمي,59.0
الجامعة التقنية الشمالية,كلية البوليتكنك كركوك,التخصصات الدارية-قسم تقنيات المحاسبة,أدبي,58.43
الجامعة التقنية الوسطى,كلية البوليتكنك بغداد,التخصصات الدارية,علمي,55.29
جامعة الفرات الوسط التقنية,كلية البوليتكنك القادسية,التخصصات الدارية,علمي,54.71
جامعة الفرات الوسط التقنية,كلية البوليتكنك كربالء,التخصصات الدارية,أدبي,51.0
الجامعة التقنية الوسطى,كلية البوليتكنك بغداد,التخصصات الدارية,أدبي,50.71
جامعة الفرات الوسط التقنية,كلية البوليتكنك القادسية,التخصصات الدارية,أدبي,50.14
الجامعة التقنية الوسطى,كلية الفنون التطبيقية,,فنون,65.57
الجامعة التقنية الوسطى,كلية الفنون التطبيقية,,أدبي,60.14
الجامعة التقنية الوسطى,كلية الفنون التطبيقية,,علمي,60.0
كلية البوليتكنك بغداد,الفنون التطبيقية,,علمي,50.86
كلية البوليتكنك بغداد,الفنون التطبيقية,,أدبي,50.29
الجامعة التقنية الجنوبية,المعهد التقني الطبي,البصرة-قسم تقنيات التخدير,علمي,96.0
الجامعة التقنية الجنوبية,المعهد التقني الطبي,البصرة-قسم تقنيات الصيدلة,علمي,95.29
الجامعة التقنية الشمالية,المعهد التقني الطبي,الموصل-قسم تقنيات التخدير,علمي,93.86
الجامعة التقنية الجنوبية,المعهد التقني الطبي,البصرة-قسم تقنيات المختبرات الطبية,علمي,93.29
الجامعة التقنية الشمالية,المعهد التقني الطبي,الموصل-قسم تقنيات الصيدلة,علمي,93.0
الجامعة التقنية الشمالية,المعهد التقني الطبي,كركوك-قسم تقنيات الصيدلة,علمي,91.0
الجامعة التقنية الوسطى,المعهد الطبي,بغداد باب المعظم,علمي,90.86
الجامعة التقنية الجنوبية,المعهد التقني الطبي,البصرة-قسم تقنيات صحة المجتمع,علمي,90.14
الجامعة التقنية الشمالية,المعهد التقني الطبي,الموصل-قسم تقنيات الشعة,علمي,90.14
الجامعة التقنية الشمالية,المعهد التقني الدور(صالح الدين),التخصصات الطبية-قسم تقنيات الصيدلة,علمي,89.71
الجامعة التقنية الوسطى,المعهد التقني الطبي,بغداد المنصور,علمي,88.71
الجامعة التقنية الشمالية,المعهد التقني الطبي,الموصل-قسم تقنيات المختبرات الطبية,علمي,87.71
الجامعة التقنية الشمالية,المعهد التقني الطبي,الموصل-قسم تقنيات فحص البصر,علمي,87.29
الجامعة التقنية الوسطى,المعهد الطبي,بغداد باب المعظم-قسم تقنيات وقاية السنان,علمي,87.0
الجامعة التقنية الوسطى,المعهد الطبي,بغداد باب المعظم-قسم تقنيات طب الطوارئ والسعافات الولية,علمي,86.43
الجامعة التقنية الشمالية,المعهد التقني الطبي,الموصل-قسم تقنيات طب الطوارئ والسعاف الفوري,علمي,86.0
الجامعة التقنية الوسطى,المعهد الطبي,بغداد باب المعظم-قسم تقنيات العالج الطبيعي,علمي,85.86
الجامعة التقنية الشمالية,المعهد التقني الطبي,كركوك-قسم تقنيات صحة المجتمع,علمي,85.71
جامعة الفرات الوسط التقنية,المعهد التقني كربالء,التخصصات الطبية,علمي,85.14
جامعة الفرات الوسط التقنية,المعهد التقني الكوفة,التخصصات الطبية,علمي,85.0
الجامعة التقنية الوسطى,المعهد التقني بلد,التخصصات الطبية-قسم تقنيات الكلية الصناعية,علمي,84.71
الجامعة التقنية الشمالية,المعهد التقني الطبي,الموصل-قسم تقنيات صحة المجتمع,علمي,84.71
الجامعة التقنية الجنوبية,المعهد التقني العمارة,التخصصات الطبية,علمي,84.57
جامعة الفرات الوسط التقنية,المعهد التقني بابل,التخصصات الطبية,علمي,84.43
الجامعة التقنية الوسطى,المعهد التقني بعقوبة,التخصصات الطبية-قسم تقنيات المختبرات الطبية,علمي,84.14
الجامعة التقنية الوسطى,المعهد الطبي,بغداد باب المعظم-قسم تقنيات السمع والنطق,علمي,83.0
الجامعة التقنية الوسطى,المعهد الطبي,بغداد باب المعظم-قسم تقنيات الطراف والمساند,علمي,82.71
الجامعة التقنية الشمالية,المعهد التقني الدور(صالح الدين),التخصصات الطبية-قسم تقنيات المختبرات الطبية,علمي,82.57
الجامعة التقنية الجنوبية,المعهد التقني الناصرية,التخصصات الطبية,علمي,82.43
الجامعة التقنية الوسطى,المعهد الطبي,بغداد باب المعظم-قسم تقنيات العالج الوظيفي,علمي,82.43
الجامعة التقنية الوسطى,المعهد التقني الطبي,بغداد المنصور-قسم تقنيات المختبرات الطبية,علمي,82.23
الجامعة التقنية الوسطى,المعهد الطبي,بغداد باب المعظم-قسم تقنيات التغذية الصحية,علمي,82.14
الجامعة التقنية الوسطى,المعهد التقني الطبي,بغداد المنصور-قسم تقنيات الدلة الجنائية والعدلية,علمي,81.86
الجامعة التقنية الوسطى,المعهد التقني بعقوبة,التخصصات الطبية-قسم تقنيات صحة المجتمع,علمي,81.57
جامعة الفرات الوسط التقنية,المعهد التقني المسيب,التخصصات الطبية,علمي,80.0
الجامعة التقنية الشمالية,المعهد التقني الحويجة,التخصصات الطبية-قسم تقنيات المختبرات الطبية,علمي,78.86
الجامعة التقنية الوسطى,المعهد التقني الصويرة,التخصصات الطبية-قسم تقنيات المختبرات الطبية,علمي,78.57
الجامعة التقنية الوسطى,المعهد التقني بلد,التخصصات الطبية-قسم تقنيات المختبرات الطبية,علمي,77.57
جامعة الفرات الوسط التقنية,المعهد التقني السماوة,التخصصات الطبية,علمي,77.0
الجامعة التقنية الشمالية,المعهد التقني النمرود,التخصصات الطبية-قسم تقنيات التغذية العالجية,علمي,76.57
الجامعة التقنية الشمالية,المعهد التقني الحويجة,التخصصات الطبية-قسم تقنيات فحص البصر,علمي,76.29
الجامعة التقنية الوسطى,المعهد التقني النبار,التخصصات الطبية-قسم تقنيات صحة المجتمع,علمي,75.29
الجامعة التقنية الشمالية,المعهد التقني الحويجة,التخصصات الطبية-قسم تقنيات الدلة الجنائية,علمي,75.14
الجامعة التقنية الشمالية,المعهد التقني الدور(صالح الدين),التخصصات الطبية-قسم الطراف الصناعية,علمي,75.0
الجامعة التقنية الوسطى,المعهد التقني الكوت,التخصصات الطبية,علمي,73.86
الجامعة التقنية الوسطى,المعهد التقني الطبي,بغداد المنصور-قسم تقنيات الدارة الصحية,علمي,73.43
جامعة الفرات الوسط التقنية,المعهد التقني القادسية,التخصصات الطبية,علمي,72.86
الجامعة التقنية الجنوبية,المعهد التقني الشطرة,التخصصات الطبية-قسم تقنيات الدارة الصحية,علمي,71.57
جامعة الفرات الوسط التقنية,المعهد التقني الرميثة,التخصصات الطبية,علمي,71.29
جامعة الفرات الوسط التقنية,المعهد التقني النجف,التخصصات الطبية,علمي,70.57
الجامعة التقنية الجنوبية,المعهد التقني التكنولوجي,البصرة,علمي,66.0
الجامعة التقنية الجنوبية,المعهد التقني العمارة,التخصصات الهندسية,علمي,63.29
الجامعة التقنية الجنوبية,المعهد التقني الناصرية,التخصصات الهندسية,علمي,60.43
جامعة الفرات الوسط التقنية,المعهد التقني الكوفة,التخصصات الهندسية,علمي,59.71
معهد التكنلوجيا,بغداد,,علمي,58.29
جامعة الفرات الوسط التقنية,المعهد التقني الرميثة,التخصصات الهندسية,علمي,52.14
جامعة الفرات الوسط التقنية,المعهد التقني السماوة,التخصصات الهندسية,علمي,52.14
الجامعة التقنية الوسطى,المعهد التقني الكوت,التخصصات الهندسية,علمي,51.86
الجامعة التقنية الشمالية,المعهد التقني الحويجة,التخصصات الهندسية,علمي,51.71
الجامعة التقنية الوسطى,المعهد التقني بعقوبة,التخصصات الهندسية,علمي,51.57
جامعة الفرات الوسط التقنية,المعهد التقني بابل,التخصصات الهندسية,علمي,51.0
الجامعة التقنية الشمالية,المعهد التقني الدور(صالح الدين),التخصصات الهندسية,علمي,51.0
جامعة الفرات الوسط التقنية,المعهد التقني النجف,التخصصات الهندسية,علمي,50.43
جامعة الفرات الوسط التقنية,المعهد التقني المسيب,التخصصات الهندسية,علمي,50.43
الجامعة التقنية الوسطى,المعهد التقني الصويرة,التخصصات الهندسية,علمي,50.14
الجامعة التقنية الشمالية,المعهد التقني الموصل,التخصصات الهندسية,علمي,50.14
الجامعة التقنية الجنوبية,المعهد التقني الشطرة,التخصصات الهندسية,علمي,50.0
الجامعة التقنية الشمالية,المعهد التقني كركوك,التخصصات الهندسية,علمي,50.0
الجامعة التقنية الوسطى,المعهد التقني النبار,التخصصات الهندسية,علمي,50.0
الجامعة التقنية الوسطى,المعهد التقني الصويرة,التخصصات الزراعية,علمي,53.71
جامعة الفرات الوسط التقنية,المعهد التقني المسيب,التخصصات الزراعية,علمي,52.86
الجامعة التقنية الشمالية,المعهد التقني الحويجة,التخصصات الزراعية-قسم تقنيات النتاج النباتي,علمي,51.86
الجامعة التقنية الجنوبية,المعهد التقني الشطرة,التخصصات الزراعية,علمي,51.29
الجامعة التقنية الوسطى,المعهد التقني الكوت,التخصصات الزراعية-قسم تقنيات الحيائية الزراعية,علمي,50.29
جامعة الفرات الوسط التقنية,المعهد التقني الكوفة,التخصصات الزراعية,علمي,50.14
الجامعة التقنية الجنوبية,المعهد التقني الداري,البصرة,علمي,65.86
الجامعة التقنية الجنوبية,المعهد التقني العمارة,التخصصات الدارية-قسم تقنيات المحاسبة,علمي,65.14
الجامعة التقنية الجنوبية,المعهد التقني الناصرية,التخصصات الدارية,علمي,62.71
الجامعة التقنية الجنوبية,المعهد التقني الشطرة,التخصصات الدارية-قسم تقنيات ادارة المواد,علمي,60.57
جامعة الفرات الوسط التقنية,المعهد التقني الكوفة,التخصصات الدارية,علمي,58.29
الجامعة التقنية الجنوبية,المعهد التقني العمارة,التخصصات الدارية-قسم تقنيات المحاسبة,أدبي,57.86
الجامعة التقنية الجنوبية,المعهد التقني الداري,البصرة,أدبي,57.86
الجامعة التقنية الشمالية,المعهد التقني النمرود,التخصصات الدارية-قسم تقنيات الدارة القانونية,علمي,57.14
الجامعة التقنية الجنوبية,المعهد التقني الناصرية,التخصصات الدارية,أدبي,56.71
جامعة الفرات الوسط التقنية,المعهد التقني الرميثة,التخصصات الدارية-قسم تقنيات المحاسبة,علمي,56.43
الجامعة التقنية الجنوبية,المعهد التقني الشطرة,التخصصات الدارية-قسم تقنيات ادارة المواد,أدبي,55.43
الجامعة التقنية الوسطى,المعهد التقني بلد,التخصصات الدارية-قسم تقنيات المحاسبة,علمي,54.57
الجامعة التقنية الشمالية,المعهد التقني النمرود,التخصصات الدارية-قسم تقنيات الدارة القانونية,أدبي,54.29
الجامعة التقنية الشمالية,المعهد التقني الدور(صالح الدين),التخصصات الدارية,أدبي,54.29
الجامعة التقنية الشمالية,المعهد التقني كركوك,التخصصات الدارية,أدبي,54.0
جامعة الفرات الوسط التقنية,المعهد التقني بابل,التخصصات الدارية,علمي,53.29
الجامعة التقنية الشمالية,المعهد التقني الدور(صالح الدين),التخصصات الدارية,علمي,53.0
الجامعة التقنية الوسطى,المعهد التقني الكوت,التخصصات الدارية,علمي,53.0
الجامعة التقنية الوسطى,المعهد التقني النبار,التخصصات الدارية,علمي,52.86
الجامعة التقنية الوسطى,معهد الدارة,الرصافة,أدبي,52.86
الجامعة التقنية الشمالية,المعهد التقني الحويجة,التخصصات الدارية,أدبي,52.71
جامعة الفرات الوسط التقنية,المعهد التقني السماوة,التخصصات الدارية,علمي,51.86
الجامعة التقنية الوسطى,المعهد التقني بعقوبة,التخصصات الدارية,علمي,51.71
معهد الدارة التقني,بغداد,,أدبي,51.43
الجامعة التقنية الشمالية,المعهد التقني الحويجة,التخصصات الدارية,علمي,51.29
جامعة الفرات الوسط التقنية,المعهد التقني الرميثة,التخصصات الدارية-قسم تقنيات المحاسبة,أدبي,50.86
الجامعة التقنية الوسطى,المعهد التقني بلد,التخصصات الدارية-قسم تقنيات المحاسبة,أدبي,50.86
جامعة الفرات الوسط التقنية,المعهد التقني المسيب,التخصصات الدارية,أدبي,50.86
جامعة الفرات الوسط التقنية,المعهد التقني الكوفة,التخصصات الدارية,أدبي,50.57
الجامعة التقنية الشمالية,معهد الدارة التقني,نينوى,علمي,50.57
الجامعة التقنية الوسطى,المعهد التقني الكوت,التخصصات الدارية,أدبي,50.57
جامعة الفرات الوسط التقنية,المعهد التقني المسيب,التخصصات الدارية,علمي,50.57
معهد الدارة التقني,بغداد,,علمي,50.43
الجامعة التقنية الوسطى,المعهد التقني الصويرة,التخصصات الدارية,علمي,50.43
الجامعة التقنية الوسطى,المعهد التقني الصويرة,التخصصات الدارية,أدبي,50.43
الجامعة التقنية الوسطى,المعهد التقني بعقوبة,التخصصات الدارية,أدبي,50.43
جامعة الفرات الوسط التقنية,المعهد التقني السماوة,التخصصات الدارية,أدبي,50.43
الجامعة التقنية الشمالية,المعهد التقني كركوك,التخصصات الدارية,علمي,50.29
جامعة الفرات الوسط التقنية,المعهد التقني النجف,التخصصات الدارية,أدبي,50.0
جامعة الفرات الوسط التقنية,المعهد التقني بابل,التخصصات الدارية,أدبي,50.0
الجامعة التقنية الشمالية,معهد الدارة التقني,نينوى,أدبي,50.0
الجامعة التقنية الوسطى,معهد الدارة,الرصافة,علمي,50.0
الجامعة التقنية الوسطى,المعهد التقني النبار,التخصصات الدارية,أدبي,50.0
جامعة الفرات الوسط التقنية,المعهد التقني النجف,التخصصات الدارية,علمي,50.0
الجامعة التقنية الجنوبية,المعهد التقني الناصرية,تخصصات الفنون التطبيقية-قسم تقنيات الفنون التطبيقية,علمي,65.71
جامعة الفرات الوسط التقنية,المعهد التقني النجف,تخصصات الفنون التطبيقية-قسم تقنيات التصميم والتزيين المعماري,علمي,62.14
معهد الفنون التطبيقية,بغداد,,علمي,60.43
الجامعة التقنية الجنوبية,المعهد التقني الناصرية,تخصصات الفنون التطبيقية-قسم تقنيات الفنون التطبيقية,أدبي,56.14
الجامعة التقنية الجنوبية,المعهد التقني الناصرية,تخصصات الفنون التطبيقية-قسم تقنيات الفنون التطبيقية,فنون,55.0
معهد الفنون التطبيقية,بغداد,,أدبي,54.29
معهد الفنون التطبيقية,بغداد,,فنون,52.0
جامعة الفرات الوسط التقنية,المعهد التقني النجف,تخصصات الفنون التطبيقية-قسم تقنيات التصميم والتزيين المعماري,أدبي,51.43
جامعة الفرات الوسط التقنية,المعهد التقني النجف,تخصصات الفنون التطبيقية-قسم تقنيات التصميم والتزيين المعماري,فنون,50.0
الجامعة التقنية الوسطى,معهد اعداد المدربين التقنيين,بغداد,علمي,50.57
